,#SYM,CUR,NAME,CON,ISIN,REBATERATE,FEERATE,AVAILABLE
0,1301,JPY,KYOKUYO CO LTD,13905224,JP3257200000,-2.0282,1.952,25000
1,1306,JPY,NOMURA ETF - TOPIX,39015900,JP3027630007,-1.2132,1.137,6900000
2,1321,JPY,NOMURA ETF - NIKKEI 225,54987234,JP3027650005,-3.4513,3.3751,100000
3,1332,JPY,NIPPON SUISAN KAISHA LTD,13905229,JP3718800000,-1.0887,1.0125,7200000
4,1333,JPY,MARUHA NICHIRO CORP,145715096,JP3876600002,-1.0887,1.0125,650000
5,1343,JPY,NEXT FUNDS REIT NOMURA ETF,55275861,JP3047010008,-2.1402,2.064,100000
6,1357,JPY,NEXT FUNDS NK22 D-INVRS ETF,158867587,JP3047780006,-1.9652,1.889,75000
7,1376,JPY,KANEKO SEEDS CO LTD,131087340,JP3216200000,-2.0142,1.938,20000
8,1377,JPY,SAKATA SEED CORP,14019555,JP3315000004,-0.9802,0.904,200000
9,1379,JPY,HOKUTO CORP,14019576,JP3843250006,-1.0182,0.942,700000
10,1384,JPY,HOKURYO CO LTD,180124262,JP3845670003,-2.3452,2.269,35000
11,1414,JPY,SHO-BOND HOLDINGS CO LTD,48147401,JP3360250009,-1.0472,0.971,700000
12,1417,JPY,MIRAIT HOLDINGS CORP,129106595,JP3910620008,-1.3922,1.316,1200000
13,1515,JPY,NITTETSU MINING CO LTD,14014501,JP3680800004,-1.0722,0.996,200000
14,1518,JPY,MITSUI MATSUSHIMA HOLDINGS C,14014506,JP3894000003,-1.0712,0.995,250000
15,1571,JPY,NEXT FUNDS NKY225 INVERS ETF,105759527,JP3047470004,-1.0342,0.958,30000
16,1605,JPY,INPEX CORP,38337742,JP3294460005,-1.0542,0.978,>10000000
17,1615,JPY,TOPIX BANKS EXCHANGE ETF,39015931,JP3040170007,-2.4352,2.359,1600000
18,1662,JPY,JAPAN PETROLEUM EXPLORATION,45406653,JP3421100003,-1.0887,1.0125,1500000
19,1716,JPY,DAI-ICHI CUTTER KOGYO KK,131082308,JP3473700007,-2.9482,2.872,30000
20,1719,JPY,HAZAMA ANDO CORP,47169975,JP3767810009,-0.9922,0.916,3600000
21,1720,JPY,TOKYU CONSTRUCTION CO LTD,47169976,JP3567410000,-1.1062,1.03,1900000
22,1721,JPY,COMSYS HOLDINGS CORP,24936994,JP3305530002,-1.3512,1.275,1900000
23,1722,JPY,MISAWA HOMES CO LTD,42247418,JP3885010003,-1.3132,1.237,350000
24,1762,JPY,TAKAMATSU CONSTRUCTION GROUP,14030617,JP3457900003,-0.9962,0.92,150000
25,1766,JPY,TOKEN CORP,47169984,JP3590900001,-1.0112,0.935,250000
26,1801,JPY,TAISEI CORP,13905238,JP3443600006,-1.3512,1.275,2300000
27,1802,JPY,OBAYASHI CORP,13905241,JP3190000004,-1.0412,0.965,9800000
28,1803,JPY,SHIMIZU CORP,13905244,JP3358800005,-1.3512,1.275,7900000
29,1805,JPY,TOBISHIMA CORP,13905253,JP3629800008,-1.4622,1.386,150000
30,1808,JPY,HASEKO CORP,14014531,JP3768600003,-1.0887,1.0125,5400000
31,1810,JPY,MATSUI CONSTRUCTION CO LTD,14014534,JP3863600007,-1.0112,0.935,200000
32,1812,JPY,KAJIMA CORP,13905263,JP3210200006,-1.3512,1.275,6300000
33,1813,JPY,FUDO TETRA CORP,14014537,JP3825600004,-0.9942,0.918,100000
34,1814,JPY,DAISUE CONSTRUCTION CO LTD,14014540,JP3485400000,-3.2632,3.187,95000
35,1815,JPY,TEKKEN CORP,14014546,JP3545600003,-1.0072,0.931,100000
36,1820,JPY,NISHIMATSU CONSTRUCTION CO,14014564,JP3659200004,-1.0162,0.94,900000
37,1821,JPY,SUMITOMO MITSUI CONSTRUCTION,14014571,JP3889200006,-1.6137,1.5375,3500000
38,1822,JPY,DAIHO CORP,14014574,JP3498600000,-0.9502,0.874,400000
39,1824,JPY,MAEDA CORP,14014581,JP3861200008,-1.0112,0.935,4400000
40,1826,JPY,SATA CONSTRUCTION CO LTD,14014586,JP3319600007,-1.0182,0.942,60000
41,1827,JPY,NAKANO CORP,14014591,JP3643600004,-1.0222,0.946,250000
42,1833,JPY,OKUMURA CORP,14014592,JP3194800003,-0.9682,0.892,350000
43,1835,JPY,TOTETSU KOGYO CO LTD,14014602,JP3595400007,-1.0887,1.0125,200000
44,1847,JPY,ICHIKEN CO LTD,14014619,JP3141400006,-1.0042,0.928,70000
45,1852,JPY,ASANUMA CORP,14014626,JP3110000001,-1.3492,1.273,60000
46,1860,JPY,TODA CORP,14014637,JP3627000007,-1.0212,0.945,4200000
47,1861,JPY,KUMAGAI GUMI CO LTD,13905268,JP3266800006,-1.0887,1.0125,750000
48,1865,JPY,ASUNARO AOKI CONSTRUCTION,14014646,JP3303400000,-1.0952,1.019,200000
49,1866,JPY,KITANO CONSTRUCTION CORP,14014649,JP3240000004,-1.0642,0.988,40000
50,1867,JPY,UEKI CORP,14014652,JP3154400000,-1.8122,1.736,10000
51,1870,JPY,YAHAGI CONSTRUCTION CO LTD,14014660,JP3933200002,-0.9682,0.892,200000
52,1871,JPY,PS MITSUBISHI CONSTRUCTION,14014667,JP3801400007,-0.9542,0.878,250000
53,1873,JPY,NIHON HOUSE HOLDINGS CO LTD,131086517,JP3783500006,-1.5952,1.519,100000
54,1878,JPY,DAITO TRUST CONSTRUCT CO LTD,14014672,JP3486800000,-1.0292,0.953,750000
55,1879,JPY,SHINNIHON CORP,14030679,JP3380300008,-1.0412,0.965,500000
56,1881,JPY,NIPPO CORP,14014677,JP3750200002,-1.0887,1.0125,1800000
57,1882,JPY,TOA ROAD CORP,14014682,JP3558000000,-0.9672,0.891,95000
58,1883,JPY,MAEDA ROAD CONSTRUCTION CO,14014687,JP3861600009,-1.3512,1.275,1400000
59,1884,JPY,NIPPON ROAD CO LTD,14014691,JP3740200005,-1.0132,0.937,100000
60,1885,JPY,TOA CORP,13905275,JP3556000002,-1.0887,1.0125,350000
61,1888,JPY,WAKACHIKU CONSTRUCTION,14014694,JP3990800009,-1.0152,0.939,150000
62,1890,JPY,TOYO CONSTRUCTION CO LTD,14014700,JP3609800002,-0.8262,0.75,2300000
63,1893,JPY,PENTA-OCEAN CONSTRUCTION CO,14014706,JP3309000002,-1.0887,1.0125,6700000
64,1898,JPY,SEIKITOKYU KOGYO CO LTD,14014717,JP3414600001,-0.9682,0.892,550000
65,1899,JPY,FUKUDA CORP,14014723,JP3805600008,-1.0472,0.971,95000
66,1911,JPY,SUMITOMO FORESTRY CO LTD,14014729,JP3409800004,-1.0742,0.998,4000000
67,1914,JPY,JAPAN FOUNDATION ENGINEERING,14014732,JP3697400004,-1.3272,1.251,100000
68,1921,JPY,TOMOE CORP,14014753,JP3631400003,-1.0822,1.006,200000
69,1925,JPY,DAIWA HOUSE INDUSTRY CO LTD,13905281,JP3505000004,-1.0502,0.974,5500000
70,1926,JPY,RAITO KOGYO CO LTD,14014768,JP3965800000,-1.0887,1.0125,1100000
71,1928,JPY,SEKISUI HOUSE LTD,13905284,JP3420600003,-0.9792,0.903,6700000
72,1929,JPY,NITTOC CONSTRUCTION CO LTD,14014773,JP3684800000,-2.1472,2.071,75000
73,1930,JPY,HOKURIKU ELECTRICAL CONST,14014778,JP3845000003,-1.0842,1.008,100000
74,1934,JPY,YURTEC CORP,14014786,JP3946200007,-0.9852,0.909,1000000
75,1938,JPY,NIPPON RIETEC CO LTD,14030692,JP3510600004,-5.3702,5.294,10000
76,1939,JPY,YONDENKO CORP,14014792,JP3962600007,-0.9662,0.89,25000
77,1941,JPY,CHUDENKO CORP,14014797,JP3524000001,-1.0887,1.0125,650000
78,1942,JPY,KANDENKO CO LTD,14014803,JP3230600003,-1.3512,1.275,2700000
79,1944,JPY,KINDEN CORP,14014809,JP3263000006,-0.9772,0.901,2700000
80,1945,JPY,TOKYO ENERGY &amp; SYSTEMS INC,14014812,JP3585400009,-1.0462,0.97,250000
81,1949,JPY,SUMITOMO DENSETSU CO LTD,14014826,JP3407800006,-0.9772,0.901,400000
82,1950,JPY,NIPPON DENSETSU KOGYO CO LTD,14014831,JP3736200001,-1.0852,1.009,700000
83,1951,JPY,KYOWA EXEO CORP.,14014833,JP3254200003,-1.0742,0.998,2000000
84,1952,JPY,SHIN NIPPON AIR TECHNOLOGIES,14014836,JP3380250005,-1.0252,0.949,90000
85,1954,JPY,NIPPON KOEI CO LTD,14014843,JP3703200000,-0.9482,0.872,150000
86,1959,JPY,KYUDENKO CORP,14014859,JP3247050002,-1.3512,1.275,1000000
87,1960,JPY,SANYO ENGINEERING &amp; CONSTRUC,14030709,JP3335400002,-6.6972,6.621,25000
88,1961,JPY,SANKI ENGINEERING CO LTD,14014862,JP3325600009,-1.0142,0.938,1400000
89,1963,JPY,JGC CORP,14014864,JP3667600005,-1.0105,0.9343,4600000
90,1964,JPY,CHUGAI RO CO LTD,14014869,JP3519800001,-1.0892,1.013,25000
91,1965,JPY,TECHNO RYOWA LTD,14030714,JP3545040002,-2.1342,2.058,200000
92,1967,JPY,YAMATO CORP,14014874,JP3940800000,-1.0082,0.932,100000
93,1968,JPY,TAIHEI DENGYO KAISHA LTD,14014879,JP3447200001,-1.0072,0.931,200000
94,1969,JPY,TAKASAGO THERMAL ENGINEERING,14014883,JP3455200000,-1.0342,0.958,750000
95,1972,JPY,SANKO METAL INDUSTRIAL CO,14014889,JP3330800008,-1.3512,1.275,40000
96,1973,JPY,NEC NETWORKS &amp; SYSTEM INTEGR,14014892,JP3733800001,-1.0887,1.0125,850000
97,1975,JPY,ASAHI KOGYOSHA CO LTD,14014898,JP3112800002,-1.0262,0.95,30000
98,1976,JPY,MEISEI INDUSTRIAL CO LTD,131085710,JP3918200001,-0.9922,0.916,300000
99,1979,JPY,TAIKISHA LTD,14014904,JP3441200007,-1.0887,1.0125,350000
100,1980,JPY,DAI-DAN CO LTD,14014909,JP3486000007,-1.0422,0.966,150000
101,1982,JPY,HIBIYA ENGINEERING LTD,14014912,JP3793400007,-0.9682,0.892,250000
102,1983,JPY,TOSHIBA PLANT SYSTEMS &amp; SERV,14014917,JP3594200002,-1.0772,1.001,800000
103,2001,JPY,NIPPON FLOUR MILLS CO LTD,13905291,JP3723000000,-1.6137,1.5375,850000
104,2002,JPY,NISSHIN SEIFUN GROUP INC,13905294,JP3676800000,-1.6137,1.5375,3300000
105,2003,JPY,NITTO FUJI FLOUR MILLING CO,14014927,JP3683200004,-0.9762,0.9,20000
106,2004,JPY,SHOWA SANGYO CO LTD,14014929,JP3366400004,-0.9392,0.863,200000
107,2009,JPY,TORIGOE CO LTD-THE,14014932,JP3636200002,-1.0132,0.937,75000
108,2053,JPY,CHUBU SHIRYO CO LTD,14030740,JP3525400002,-0.9862,0.91,500000
109,2108,JPY,NIPPON BEET SUGAR MFG CO LTD,14014957,JP3732600006,-0.9792,0.903,200000
110,2109,JPY,MITSUI SUGAR CO LTD,14014963,JP3890400009,-0.9642,0.888,300000
111,2112,JPY,ENSUIKO SUGAR REFINING CO,14030750,JP3168800005,-1.0402,0.964,500000
112,2120,JPY,LIFULL CO LTD,41545014,JP3758140002,-1.1272,1.051,300000
113,2121,JPY,MIXI INC,41015005,JP3882750007,-1.22,1.1438,1900000
114,2127,JPY,NIHON M&amp;A CENTER INC,41194685,JP3689050007,-1.5746,1.4984,2400000
115,2157,JPY,KOSHIDAKA HOLDINGS CO LTD,131087032,JP3297360004,-4.5013,4.4251,550000
116,2160,JPY,GNI GROUP LTD,46053557,JP3386370005,-6.6812,6.605,3000
117,2181,JPY,PERSOL HOLDINGS CO LTD,55693120,JP3547670004,-1.0602,0.984,3300000
118,2193,JPY,COOKPAD INC,69188907,JP3266170004,-2.8302,2.754,250000
119,2196,JPY,ESCRIT INC,98542267,JP3162620003,-1.7222,1.646,100000
120,2201,JPY,MORINAGA &amp; CO LTD,13905296,JP3926400007,-1.3512,1.275,750000
121,2204,JPY,NAKAMURAYA CO LTD,14014966,JP3646000004,-1.0002,0.924,9000
122,2206,JPY,EZAKI GLICO CO LTD,14014969,JP3161200005,-1.6137,1.5375,600000
123,2207,JPY,MEITO SANGYO CO LTD,14014972,JP3920200007,-1.0222,0.946,25000
124,2208,JPY,BOURBON CORP,14030765,JP3831400001,-5.8262,5.75,20000
125,2209,JPY,IMURAYA GROUP CO LTD,14030771,JP3149200002,-4.7262,4.65,15000
126,2211,JPY,FUJIYA CO LTD,14014976,JP3821200007,-1.0512,0.975,95000
127,2212,JPY,YAMAZAKI BAKING CO LTD,14014981,JP3935600001,-1.0342,0.958,2800000
128,2217,JPY,MOROZOFF LTD,14014991,JP3927600001,-1.4492,1.373,9000
129,2220,JPY,KAMEDA SEIKA CO LTD,14030777,JP3219800004,-1.0272,0.951,90000
130,2222,JPY,KOTOBUKI SPIRITS CO LTD,131081594,JP3299600001,-1.9712,1.895,150000
131,2229,JPY,CALBEE INC,85250165,JP3220580009,-0.9712,0.895,2000000
132,2264,JPY,MORINAGA MILK INDUSTRY CO,14014996,JP3926800008,-1.3512,1.275,1300000
133,2266,JPY,ROKKO BUTTER CO LTD,131087921,JP3984800007,-1.3152,1.239,85000
134,2267,JPY,YAKULT HONSHA CO LTD,14015003,JP3931600005,-1.0372,0.961,1400000
135,2269,JPY,MEIJI HOLDINGS CO. LTD.,59013165,JP3918000005,-1.0192,0.943,1400000
136,2270,JPY,MEGMILK SNOW BRAND CO LTD,72432032,JP3947800003,-0.9352,0.859,1000000
137,2281,JPY,PRIMA MEAT PACKERS LTD,14015006,JP3833200003,-1.6137,1.5375,1100000
138,2282,JPY,NH FOODS LTD,14015010,JP3743000006,-1.0887,1.0125,1500000
