#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
1301|JPY|KYOKUYO CO LTD|13905224|JP3257200000|-2.0282|1.9520|25000|
1306|JPY|NOMURA ETF - TOPIX|39015900|JP3027630007|-1.2132|1.1370|6900000|
1321|JPY|NOMURA ETF - NIKKEI 225|54987234|JP3027650005|-3.4513|3.3751|100000|
1332|JPY|NIPPON SUISAN KAISHA LTD|13905229|JP3718800000|-1.0887|1.0125|7200000|
1333|JPY|MARUHA NICHIRO CORP|145715096|JP3876600002|-1.0887|1.0125|650000|
1343|JPY|NEXT FUNDS REIT NOMURA ETF|55275861|JP3047010008|-2.1402|2.0640|100000|
1357|JPY|NEXT FUNDS NK22 D-INVRS ETF|158867587|JP3047780006|-1.9652|1.8890|75000|
1376|JPY|KANEKO SEEDS CO LTD|131087340|JP3216200000|-2.0142|1.9380|20000|
1377|JPY|SAKATA SEED CORP|14019555|JP3315000004|-0.9802|0.9040|200000|
1379|JPY|HOKUTO CORP|14019576|JP3843250006|-1.0182|0.9420|700000|
1384|JPY|HOKURYO CO LTD|180124262|JP3845670003|-2.3452|2.2690|35000|
1414|JPY|SHO-BOND HOLDINGS CO LTD|48147401|JP3360250009|-1.0472|0.9710|700000|
1417|JPY|MIRAIT HOLDINGS CORP|129106595|JP3910620008|-1.3922|1.3160|1200000|
1515|JPY|NITTETSU MINING CO LTD|14014501|JP3680800004|-1.0722|0.9960|200000|
1518|JPY|MITSUI MATSUSHIMA HOLDINGS C|14014506|JP3894000003|-1.0712|0.9950|250000|
1571|JPY|NEXT FUNDS NKY225 INVERS ETF|105759527|JP3047470004|-1.0342|0.9580|30000|
1605|JPY|INPEX CORP|38337742|JP3294460005|-1.0542|0.9780|>10000000|
1615|JPY|TOPIX BANKS EXCHANGE ETF|39015931|JP3040170007|-2.4352|2.3590|1600000|
1662|JPY|JAPAN PETROLEUM EXPLORATION|45406653|JP3421100003|-1.0887|1.0125|1500000|
1716|JPY|DAI-ICHI CUTTER KOGYO KK|131082308|JP3473700007|-2.9482|2.8720|30000|
1719|JPY|HAZAMA ANDO CORP|47169975|JP3767810009|-0.9922|0.9160|3600000|
1720|JPY|TOKYU CONSTRUCTION CO LTD|47169976|JP3567410000|-1.1062|1.0300|1900000|
1721|JPY|COMSYS HOLDINGS CORP|24936994|JP3305530002|-1.3512|1.2750|1900000|
1722|JPY|MISAWA HOMES CO LTD|42247418|JP3885010003|-1.3132|1.2370|350000|
1762|JPY|TAKAMATSU CONSTRUCTION GROUP|14030617|JP3457900003|-0.9962|0.9200|150000|
1766|JPY|TOKEN CORP|47169984|JP3590900001|-1.0112|0.9350|250000|
1801|JPY|TAISEI CORP|13905238|JP3443600006|-1.3512|1.2750|2300000|
1802|JPY|OBAYASHI CORP|13905241|JP3190000004|-1.0412|0.9650|9800000|
1803|JPY|SHIMIZU CORP|13905244|JP3358800005|-1.3512|1.2750|7900000|
1805|JPY|TOBISHIMA CORP|13905253|JP3629800008|-1.4622|1.3860|150000|
1808|JPY|HASEKO CORP|14014531|JP3768600003|-1.0887|1.0125|5400000|
1810|JPY|MATSUI CONSTRUCTION CO LTD|14014534|JP3863600007|-1.0112|0.9350|200000|
1812|JPY|KAJIMA CORP|13905263|JP3210200006|-1.3512|1.2750|6300000|
1813|JPY|FUDO TETRA CORP|14014537|JP3825600004|-0.9942|0.9180|100000|
1814|JPY|DAISUE CONSTRUCTION CO LTD|14014540|JP3485400000|-3.2632|3.1870|95000|
1815|JPY|TEKKEN CORP|14014546|JP3545600003|-1.0072|0.9310|100000|
1820|JPY|NISHIMATSU CONSTRUCTION CO|14014564|JP3659200004|-1.0162|0.9400|900000|
1821|JPY|SUMITOMO MITSUI CONSTRUCTION|14014571|JP3889200006|-1.6137|1.5375|3500000|
1822|JPY|DAIHO CORP|14014574|JP3498600000|-0.9502|0.8740|400000|
1824|JPY|MAEDA CORP|14014581|JP3861200008|-1.0112|0.9350|4400000|
1826|JPY|SATA CONSTRUCTION CO LTD|14014586|JP3319600007|-1.0182|0.9420|60000|
1827|JPY|NAKANO CORP|14014591|JP3643600004|-1.0222|0.9460|250000|
1833|JPY|OKUMURA CORP|14014592|JP3194800003|-0.9682|0.8920|350000|
1835|JPY|TOTETSU KOGYO CO LTD|14014602|JP3595400007|-1.0887|1.0125|200000|
1847|JPY|ICHIKEN CO LTD|14014619|JP3141400006|-1.0042|0.9280|70000|
1852|JPY|ASANUMA CORP|14014626|JP3110000001|-1.3492|1.2730|60000|
1860|JPY|TODA CORP|14014637|JP3627000007|-1.0212|0.9450|4200000|
1861|JPY|KUMAGAI GUMI CO LTD|13905268|JP3266800006|-1.0887|1.0125|750000|
1865|JPY|ASUNARO AOKI CONSTRUCTION|14014646|JP3303400000|-1.0952|1.0190|200000|
1866|JPY|KITANO CONSTRUCTION CORP|14014649|JP3240000004|-1.0642|0.9880|40000|
1867|JPY|UEKI CORP|14014652|JP3154400000|-1.8122|1.7360|10000|
1870|JPY|YAHAGI CONSTRUCTION CO LTD|14014660|JP3933200002|-0.9682|0.8920|200000|
1871|JPY|PS MITSUBISHI CONSTRUCTION|14014667|JP3801400007|-0.9542|0.8780|250000|
1873|JPY|NIHON HOUSE HOLDINGS CO LTD|131086517|JP3783500006|-1.5952|1.5190|100000|
1878|JPY|DAITO TRUST CONSTRUCT CO LTD|14014672|JP3486800000|-1.0292|0.9530|750000|
1879|JPY|SHINNIHON CORP|14030679|JP3380300008|-1.0412|0.9650|500000|
1881|JPY|NIPPO CORP|14014677|JP3750200002|-1.0887|1.0125|1800000|
1882|JPY|TOA ROAD CORP|14014682|JP3558000000|-0.9672|0.8910|95000|
1883|JPY|MAEDA ROAD CONSTRUCTION CO|14014687|JP3861600009|-1.3512|1.2750|1400000|
1884|JPY|NIPPON ROAD CO LTD|14014691|JP3740200005|-1.0132|0.9370|100000|
1885|JPY|TOA CORP|13905275|JP3556000002|-1.0887|1.0125|350000|
1888|JPY|WAKACHIKU CONSTRUCTION|14014694|JP3990800009|-1.0152|0.9390|150000|
1890|JPY|TOYO CONSTRUCTION CO LTD|14014700|JP3609800002|-0.8262|0.7500|2300000|
1893|JPY|PENTA-OCEAN CONSTRUCTION CO|14014706|JP3309000002|-1.0887|1.0125|6700000|
1898|JPY|SEIKITOKYU KOGYO CO LTD|14014717|JP3414600001|-0.9682|0.8920|550000|
1899|JPY|FUKUDA CORP|14014723|JP3805600008|-1.0472|0.9710|95000|
1911|JPY|SUMITOMO FORESTRY CO LTD|14014729|JP3409800004|-1.0742|0.9980|4000000|
1914|JPY|JAPAN FOUNDATION ENGINEERING|14014732|JP3697400004|-1.3272|1.2510|100000|
1921|JPY|TOMOE CORP|14014753|JP3631400003|-1.0822|1.0060|200000|
1925|JPY|DAIWA HOUSE INDUSTRY CO LTD|13905281|JP3505000004|-1.0502|0.9740|5500000|
1926|JPY|RAITO KOGYO CO LTD|14014768|JP3965800000|-1.0887|1.0125|1100000|
1928|JPY|SEKISUI HOUSE LTD|13905284|JP3420600003|-0.9792|0.9030|6700000|
1929|JPY|NITTOC CONSTRUCTION CO LTD|14014773|JP3684800000|-2.1472|2.0710|75000|
1930|JPY|HOKURIKU ELECTRICAL CONST|14014778|JP3845000003|-1.0842|1.0080|100000|
1934|JPY|YURTEC CORP|14014786|JP3946200007|-0.9852|0.9090|1000000|
1938|JPY|NIPPON RIETEC CO LTD|14030692|JP3510600004|-5.3702|5.2940|10000|
1939|JPY|YONDENKO CORP|14014792|JP3962600007|-0.9662|0.8900|25000|
1941|JPY|CHUDENKO CORP|14014797|JP3524000001|-1.0887|1.0125|650000|
1942|JPY|KANDENKO CO LTD|14014803|JP3230600003|-1.3512|1.2750|2700000|
1944|JPY|KINDEN CORP|14014809|JP3263000006|-0.9772|0.9010|2700000|
1945|JPY|TOKYO ENERGY &amp; SYSTEMS INC|14014812|JP3585400009|-1.0462|0.9700|250000|
1949|JPY|SUMITOMO DENSETSU CO LTD|14014826|JP3407800006|-0.9772|0.9010|400000|
1950|JPY|NIPPON DENSETSU KOGYO CO LTD|14014831|JP3736200001|-1.0852|1.0090|700000|
1951|JPY|KYOWA EXEO CORP.|14014833|JP3254200003|-1.0742|0.9980|2000000|
1952|JPY|SHIN NIPPON AIR TECHNOLOGIES|14014836|JP3380250005|-1.0252|0.9490|90000|
1954|JPY|NIPPON KOEI CO LTD|14014843|JP3703200000|-0.9482|0.8720|150000|
1959|JPY|KYUDENKO CORP|14014859|JP3247050002|-1.3512|1.2750|1000000|
1960|JPY|SANYO ENGINEERING &amp; CONSTRUC|14030709|JP3335400002|-6.6972|6.6210|25000|
