#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|1.8186|0.2814|>10000000|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|1.8478|0.2522|8400000|
AAAU|USD|PERTH MINT PHYSICAL GOLD ETF|329705746|XXXXXXX61025|-12.0584|14.1584|10000|
AABA|USD|ALTABA INC|278946664|XXXXXXX61017|1.8500|0.2500|>10000000|
AAC|USD|AAC HOLDINGS INC|169041192|XXXXXXX71083|-28.8921|30.9921|900000|
AACAY|USD|AAC TECHNOLOGIES H-UNSPON AD|54939868|XXXXXXX41052|-67.2920|69.3920|10000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|1.8500|0.2500|5000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-1.3067|3.4067|7000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|1.8000|0.3000|4000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|1.8500|0.2500|300000|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|1.8481|0.2519|4900000|
AAMC|USD|ALTISOURCE ASSET MANAGEMENT|118834665|VI02153X1080|-2.4867|4.5867|5000|
AAME|USD|ATLANTIC AMERICAN CORP|265585|XXXXXXX91008|1.6702|0.4298|300000|
AAMMF|USD|ALMADEX MINERALS LTD-NEW|319496815|CA02028L1076|-0.8163|2.9163|150000|
AAMUQ|USD|AMERICAN AMMUNITION INC-CA|30207305|XXXXXXX62093|1.8500|0.2500|350000|
AAN|USD|AARON'S INC|3630029|XXXXXXX53006|1.8478|0.2522|6300000|
AAOI|USD|APPLIED OPTOELECTRONICS INC|135423662|XXXXXXXU1025|0.1016|1.9984|4000|
AAON|USD|AAON INC|265595|XXXXXXX02069|1.8499|0.2501|1100000|
AAP|USD|ADVANCE AUTO PARTS INC|4027|XXXXXXXY1064|1.7599|0.3401|2700000|
AAPL|USD|APPLE INC|265598|XXXXXXX31005|1.8500|0.2500|>10000000|
AAPT|USD|ALL AMERICAN PET CO INC|44001811|XXXXXXXF1066|1.8000|0.3000|200000|
AASL|USD|AMERICA'S SUPPLIERS INC|242059185|XXXXXXXJ2050|1.8500|0.2500|1000|
AAT|USD|AMERICAN ASSETS TRUST INC|82819360|XXXXXXX31047|1.5917|0.5083|1800000|
AATV|USD|ADAPTIVE AD SYSTEMS INC|160872878|XXXXXXXA1007|1.8000|0.3000|800|
AAU|USD|ALMADEN MINERALS LTD - B|202212514|CA0202833053|-10.3555|12.4555|250000|
AAVVF|USD|ADVANTAGE OIL &amp; GAS LTD|61596952|CA00765F1018|0.5931|1.5069|300000|
AAWW|USD|ATLAS AIR WORLDWIDE HOLDINGS|39505341|XXXXXXX42056|1.8500|0.2500|2000000|
AAXJ|USD|ISHARES MSCI ALL COUNTRY ASI|53224215|XXXXXXX81829|1.6161|0.4839|1000000|
AAXN|USD|AXON ENTERPRISE INC|272104927|XXXXXXXC1018|1.8500|0.2500|750000|
AB|USD|ALLIANCEBERNSTEIN HOLDING LP|38198926|XXXXXXXG1067|0.8161|1.2839|250000|
ABAT|USD|ADVANCED BATTERY TECHNOLOGIE|30207591|XXXXXXXH1023|1.8000|0.3000|1200000|
ABB|USD|ABB LTD-SPON ADR|11962137|XXXXXXX52047|1.4564|0.6436|250000|
ABBV|USD|ABBVIE INC|118089500|XXXXXXXY1091|1.8500|0.2500|>10000000|
ABC|USD|AMERISOURCEBERGEN CORP.|1714996|XXXXXXXE1055|1.8500|0.2500|5100000|
ABCB|USD|AMERIS BANCORP|3655373|XXXXXXXK1088|1.8034|0.2966|5000000|
ABCP|USD|AMBASE CORP|30207592|XXXXXXX41061|-0.8189|2.9189|9000|
ABDC|USD|ALCENTRA CAPITAL CORP|150975074|XXXXXXXT1025|-1.5925|3.6925|250000|
ABEO|USD|ABEONA THERAPEUTICS INC|197341060|XXXXXXXY1073|1.5691|0.5309|600000|
ABEV|USD|AMBEV SA-ADR|137736417|XXXXXXXV1035|1.8500|0.2500|>10000000|
ABEW|USD|AIRBEE WIRELESS INC|42778704|XXXXXXX31054|1.8500|0.2500|70000|
