,#SYM,CUR,NAME,CON,ISIN,REBATERATE,FEERATE,AVAILABLE
0,1301,JPY,KYOKUYO CO LTD,13905224,JP3257200000,-2.049,1.959,25000
1,1306,JPY,NOMURA ETF - TOPIX,39015900,JP3027630007,-1.709,1.619,6300000
2,1321,JPY,NOMURA ETF - NIKKEI 225,54987234,JP3027650005,-3.465,3.375,100000
3,1332,JPY,NIPPON SUISAN KAISHA LTD,13905229,JP3718800000,-1.017,0.927,7400000
4,1333,JPY,MARUHA NICHIRO CORP,145715096,JP3876600002,-1.0,0.91,700000
5,1376,JPY,KANEKO SEEDS CO LTD,131087340,JP3216200000,-1.876,1.786,20000
6,1377,JPY,SAKATA SEED CORP,14019555,JP3315000004,-1.091,1.001,150000
7,1379,JPY,HOKUTO CORP,14019576,JP3843250006,-1.015,0.925,700000
8,1414,JPY,SHO-BOND HOLDINGS CO LTD,48147401,JP3360250009,-1.053,0.963,750000
9,1417,JPY,MIRAIT HOLDINGS CORP,129106595,JP3910620008,-1.366,1.276,350000
10,1515,JPY,NITTETSU MINING CO LTD,14014501,JP3680800004,-1.011,0.921,200000
11,1518,JPY,MITSUI MATSUSHIMA HOLDINGS C,14014506,JP3894000003,-0.966,0.876,250000
12,1605,JPY,INPEX CORP,38337742,JP3294460005,-0.989,0.899,>10000000
13,1615,JPY,TOPIX BANKS EXCHANGE ETF,39015931,JP3040170007,-1.6,1.51,1600000
14,1662,JPY,JAPAN PETROLEUM EXPLORATION,45406653,JP3421100003,-1.052,0.962,1400000
15,1716,JPY,DAI-ICHI CUTTER KOGYO KK,131082308,JP3473700007,-3.159,3.069,30000
16,1719,JPY,HAZAMA ANDO CORP,47169975,JP3767810009,-1.295,1.205,3500000
17,1720,JPY,TOKYU CONSTRUCTION CO LTD,47169976,JP3567410000,-1.007,0.917,2000000
18,1721,JPY,COMSYS HOLDINGS CORP,24936994,JP3305530002,-1.365,1.275,1600000
19,1722,JPY,MISAWA HOMES CO LTD,42247418,JP3885010003,-1.312,1.222,350000
20,1726,JPY,BR HOLDINGS CORP,47169981,JP3799610005,-2.712,2.622,45000
21,1762,JPY,TAKAMATSU CONSTRUCTION GROUP,14030617,JP3457900003,-1.038,0.948,100000
22,1766,JPY,TOKEN CORP,47169984,JP3590900001,-1.019,0.929,350000
23,1801,JPY,TAISEI CORP,13905238,JP3443600006,-1.365,1.275,2500000
24,1802,JPY,OBAYASHI CORP,13905241,JP3190000004,-0.995,0.905,>10000000
25,1803,JPY,SHIMIZU CORP,13905244,JP3358800005,-1.009,0.919,8800000
26,1805,JPY,TOBISHIMA CORP,13905253,JP3629800008,-1.823,1.733,150000
27,1808,JPY,HASEKO CORP,14014531,JP3768600003,-0.972,0.882,5700000
28,1810,JPY,MATSUI CONSTRUCTION CO LTD,14014534,JP3863600007,-1.136,1.046,200000
29,1812,JPY,KAJIMA CORP,13905263,JP3210200006,-1.002,0.912,6600000
30,1813,JPY,FUDO TETRA CORP,14014537,JP3825600004,-1.009,0.919,100000
31,1814,JPY,DAISUE CONSTRUCTION CO LTD,14014540,JP3485400000,-3.369,3.279,100000
32,1815,JPY,TEKKEN CORP,14014546,JP3545600003,-0.999,0.909,100000
33,1820,JPY,NISHIMATSU CONSTRUCTION CO,14014564,JP3659200004,-1.002,0.912,1000000
34,1821,JPY,SUMITOMO MITSUI CONSTRUCTION,14014571,JP3889200006,-1.01,0.92,3600000
35,1822,JPY,DAIHO CORP,14014574,JP3498600000,-0.994,0.904,400000
36,1824,JPY,MAEDA CORP,14014581,JP3861200008,-1.011,0.921,4100000
37,1826,JPY,SATA CONSTRUCTION CO LTD,14014586,JP3319600007,-1.028,0.938,60000
38,1827,JPY,NAKANO CORP,14014591,JP3643600004,-1.078,0.988,250000
39,1833,JPY,OKUMURA CORP,14014592,JP3194800003,-0.993,0.903,350000
40,1835,JPY,TOTETSU KOGYO CO LTD,14014602,JP3595400007,-1.071,0.981,200000
41,1847,JPY,ICHIKEN CO LTD,14014619,JP3141400006,-1.106,1.016,70000
42,1852,JPY,ASANUMA CORP,14014626,JP3110000001,-1.415,1.325,55000
43,1860,JPY,TODA CORP,14014637,JP3627000007,-0.99,0.9,4000000
44,1861,JPY,KUMAGAI GUMI CO LTD,13905268,JP3266800006,-1.016,0.926,700000
45,1865,JPY,ASUNARO AOKI CONSTRUCTION,14014646,JP3303400000,-1.088,0.998,200000
46,1866,JPY,KITANO CONSTRUCTION CORP,14014649,JP3240000004,-0.999,0.909,40000
47,1867,JPY,UEKI CORP,14014652,JP3154400000,-1.84,1.75,10000
48,1870,JPY,YAHAGI CONSTRUCTION CO LTD,14014660,JP3933200002,-1.035,0.945,200000
49,1871,JPY,PS MITSUBISHI CONSTRUCTION,14014667,JP3801400007,-0.986,0.896,250000
50,1873,JPY,NIHON HOUSE HOLDINGS CO LTD,131086517,JP3783500006,-1.511,1.421,100000
51,1878,JPY,DAITO TRUST CONSTRUCT CO LTD,14014672,JP3486800000,-1.047,0.957,600000
52,1879,JPY,SHINNIHON CORP,14030679,JP3380300008,-1.069,0.979,500000
53,1881,JPY,NIPPO CORP,14014677,JP3750200002,-1.1025,1.0125,1800000
54,1882,JPY,TOA ROAD CORP,14014682,JP3558000000,-0.998,0.908,75000
55,1883,JPY,MAEDA ROAD CONSTRUCTION CO,14014687,JP3861600009,-1.365,1.275,1500000
56,1884,JPY,NIPPON ROAD CO LTD,14014691,JP3740200005,-1.059,0.969,100000
57,1885,JPY,TOA CORP,13905275,JP3556000002,-1.365,1.275,350000
58,1888,JPY,WAKACHIKU CONSTRUCTION,14014694,JP3990800009,-0.981,0.891,150000
59,1890,JPY,TOYO CONSTRUCTION CO LTD,14014700,JP3609800002,-1.233,1.143,2300000
60,1893,JPY,PENTA-OCEAN CONSTRUCTION CO,14014706,JP3309000002,-1.114,1.024,5600000
61,1898,JPY,SEIKITOKYU KOGYO CO LTD,14014717,JP3414600001,-0.994,0.904,550000
62,1899,JPY,FUKUDA CORP,14014723,JP3805600008,-0.984,0.894,95000
63,1911,JPY,SUMITOMO FORESTRY CO LTD,14014729,JP3409800004,-1.1025,1.0125,4100000
64,1914,JPY,JAPAN FOUNDATION ENGINEERING,14014732,JP3697400004,-1.515,1.425,100000
65,1921,JPY,TOMOE CORP,14014753,JP3631400003,-1.116,1.026,200000
66,1925,JPY,DAIWA HOUSE INDUSTRY CO LTD,13905281,JP3505000004,-0.996,0.906,6500000
67,1926,JPY,RAITO KOGYO CO LTD,14014768,JP3965800000,-1.031,0.941,1500000
68,1928,JPY,SEKISUI HOUSE LTD,13905284,JP3420600003,-1.504,1.414,4500000
69,1929,JPY,NITTOC CONSTRUCTION CO LTD,14014773,JP3684800000,-2.095,2.005,75000
70,1930,JPY,HOKURIKU ELECTRICAL CONST,14014778,JP3845000003,-1.09,1.0,100000
71,1934,JPY,YURTEC CORP,14014786,JP3946200007,-0.982,0.892,1100000
