#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|2.1058|0.2642|>10000000|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|2.0820|0.2880|7500000|
AAAU|USD|PERTH MINT PHYSICAL GOLD ETF|329705746|XXXXXXX61025|-11.7093|14.0793|3000|
AABA|USD|ALTABA INC|278946664|XXXXXXX61017|2.1200|0.2500|>10000000|
AAC|USD|AAC HOLDINGS INC|169041192|XXXXXXX71083|-32.6540|35.0240|800000|
AACAY|USD|AAC TECHNOLOGIES H-UNSPON AD|54939868|XXXXXXX41052|-55.8049|58.1749|20000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|2.1200|0.2500|5000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-1.2803|3.6503|6000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|2.0700|0.3000|4000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|2.1200|0.2500|250000|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|2.1200|0.2500|5900000|
AAMC|USD|ALTISOURCE ASSET MANAGEMENT|118834665|VI02153X1080|-2.4213|4.7913|10000|
AAME|USD|ATLANTIC AMERICAN CORP|265585|XXXXXXX91008|1.8969|0.4731|300000|
AAMMF|USD|ALMADEX MINERALS LTD-NEW|319496815|CA02028L1076|-0.8711|3.2411|150000|
AAMUQ|USD|AMERICAN AMMUNITION INC-CA|30207305|XXXXXXX62093|2.1200|0.2500|350000|
AAN|USD|AARON'S INC|3630029|XXXXXXX53006|2.1091|0.2609|6200000|
AAOI|USD|APPLIED OPTOELECTRONICS INC|135423662|XXXXXXXU1025|0.5308|1.8392|100000|
AAON|USD|AAON INC|265595|XXXXXXX02069|2.1200|0.2500|1100000|
AAP|USD|ADVANCE AUTO PARTS INC|4027|XXXXXXXY1064|2.1200|0.2500|2900000|
AAPL|USD|APPLE INC|265598|XXXXXXX31005|2.1200|0.2500|>10000000|
AAT|USD|AMERICAN ASSETS TRUST INC|82819360|XXXXXXX31047|2.1200|0.2500|1900000|
AATV|USD|ADAPTIVE AD SYSTEMS INC|160872878|XXXXXXXA1007|2.0700|0.3000|800|
AAU|USD|ALMADEN MINERALS LTD - B|202212514|CA0202833053|-10.1353|12.5053|150000|
AAVVF|USD|ADVANTAGE OIL &amp; GAS LTD|61596952|CA00765F1018|0.6758|1.6942|1400000|
AAWW|USD|ATLAS AIR WORLDWIDE HOLDINGS|39505341|XXXXXXX42056|2.1145|0.2555|2000000|
AAXJ|USD|ISHARES MSCI ALL COUNTRY ASI|53224215|XXXXXXX81829|1.6663|0.7037|600000|
AAXN|USD|AXON ENTERPRISE INC|272104927|XXXXXXXC1018|2.1200|0.2500|800000|
AB|USD|ALLIANCEBERNSTEIN HOLDING LP|38198926|XXXXXXXG1067|1.1327|1.2373|25000|
ABAT|USD|ADVANCED BATTERY TECHNOLOGIE|30207591|XXXXXXXH1023|2.0700|0.3000|1200000|
ABB|USD|ABB LTD-SPON ADR|11962137|XXXXXXX52047|1.8515|0.5185|100000|
ABBRF|USD|ABRAPLATA RESOURCE CORP|315663513|CA0037931064|-0.9127|3.2827|20000|
ABBV|USD|ABBVIE INC|118089500|XXXXXXXY1091|2.1200|0.2500|>10000000|
ABC|USD|AMERISOURCEBERGEN CORP.|1714996|XXXXXXXE1055|2.1200|0.2500|5100000|
ABCB|USD|AMERIS BANCORP|3655373|XXXXXXXK1088|2.1048|0.2652|5000000|
ABCFF|USD|ABACUS MINING &amp; EXPLORATION|274710751|CA0025555065|-1.3465|3.7165|35000|
ABCP|USD|AMBASE CORP|30207592|XXXXXXX41061|-0.8737|3.2437|4000|
ABDC|USD|ALCENTRA CAPITAL CORP|150975074|XXXXXXXT1025|-1.7220|4.0920|100000|
ABEO|USD|ABEONA THERAPEUTICS INC|197341060|XXXXXXXY1073|1.8845|0.4855|450000|
ABEV|USD|AMBEV SA-ADR|137736417|XXXXXXXV1035|2.1200|0.2500|>10000000|
ABEW|USD|AIRBEE WIRELESS INC|42778704|XXXXXXX31054|2.1200|0.2500|70000|
ABG|USD|ASBURY AUTOMOTIVE GROUP|14680959|XXXXXXX61046|2.1178|0.2522|550000|
ABHI|USD|AMBICOM HOLDINGS INC|225649604|XXXXXXXR3003|2.1200|0.2500|2300000|
ABIL|USD|ABILITY INC|311892904|KYG8789K1242|-73.0105|75.3805|30000|
ABIO|USD|ARCA BIOPHARMA INC|359788451|XXXXXXXY5069|-96.4937|98.8637|35000|
ABKI|USD|ABAKAN INC|70839916|XXXXXXXJ1079|2.0700|0.3000|100000|
ABLT|USD|AMERICAN BILTRITE INC|108509834|XXXXXXX14066|2.1200|0.2500|500|
ABM|USD|ABM INDUSTRIES INC|4050|XXXXXXX71003|2.1200|0.2500|3800000|
ABMC|USD|AMERICAN BIO MEDICA CORP|4725711|XXXXXXX01087|2.1200|0.2500|15000|
ABMD|USD|ABIOMED INC|265655|XXXXXXX41003|2.1004|0.2696|1600000|
ABML|USD|AMERICAN BATTERY METALS CORP|364344135|XXXXXXXV1017|0.7501|1.6199|150000|
ABNAF|USD|ABEN RESOURCES LTD|203013658|CA00289T3064|2.0700|0.3000|35000|
ABNK|USD|ALTAPACIFIC BANCORP|80946645|XXXXXXXH1041|2.0700|0.3000|9000|
ABNRY|USD|ABN AMRO BANK NV-UNSP ADR|270905623|XXXXXXXL1026|-12.6468|15.0168|10000|
ABPI|USD|ACCENTIA BIOPHARMACEUTICALS|35046596|XXXXXXXL1035|2.0700|0.3000|60000|
ABR|USD|ARBOR REALTY TRUST INC|29661257|XXXXXXX31087|1.4433|0.9267|550000|
ABR PRA|USD|ARBOR REALTY TRUST INC|121864398|XXXXXXX36037|-2.5727|4.9427|8000|
ABR PRB|USD|ARBOR REALTY TRUST INC|127639468|XXXXXXX37027|-5.5980|7.9680|15000|
ABR PRC|USD|ARBOR REALTY TRUST CUM REDEEMABLE P|145409783|XXXXXXX38017|-1.7036|4.0736|2000|
ABT|USD|ABBOTT LABORATORIES .|4065|XXXXXXX41000|2.1145|0.2555|>10000000|
ABTX|USD|ALLEGIANCE BANCSHARES INC|209048380|XXXXXXXH1077|2.1200|0.2500|500000|
ABUS|USD|ARBUTUS BIOPHARMA CORP|202009938|CA03879J1003|0.7332|1.6368|700000|
ABVC|USD|AMERICAN BRIVISION HOLDING C|365195809|XXXXXXX32069|1.7244|0.6456|200|
ABVV|USD|ABVIVA INC |53766280|XXXXXXXY2054|2.1200|0.2500|25000|
ABWG|USD|A.B. WATLEY GROUP INC|6525716|XXXXXXX81099|2.1200|0.2500|150000|
AC|USD|ASSOCIATED CAPITAL GROUP - A|211726414|XXXXXXX81065|1.1148|1.2552|1000|
ACA|USD|ARCOSA INC|336517320|XXXXXXX31008|2.1145|0.2555|2100000|
ACAD|USD|ACADIA PHARMACEUTICALS INC|29308796|XXXXXXX51084|2.0755|0.2945|1300000|
